trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
198,False,"{'a': 0.4, 'e': 0.13808081308747275}",20,9,-21.409017823270812,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
199,False,"{'a': 0.4, 'e': 0.136700004956598}",30,13,-11.533244018219595,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
200,False,"{'a': 0.4, 'e': 0.13533300490703204}",25,16,2.5913918434896344,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
201,False,"{'a': 0.4, 'e': 0.13397967485796172}",25,19,8.783037032688565,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.4, 'e': 0.1326398781093821}",30,10,16.164646244536467,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
203,False,"{'a': 0.4, 'e': 0.13131347932828827}",20,6,22.69152929497717,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.4, 'e': 0.1300003445350054}",20,15,10.797877641560238,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.4, 'e': 0.12870034108965533}",30,12,22.1394922265129,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.4, 'e': 0.1274133376787588}",30,16,2.6330450094841065,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
207,False,"{'a': 0.4, 'e': 0.12613920430197118}",20,12,-26.202049797306415,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
208,False,"{'a': 0.4, 'e': 0.12487781225895148}",25,9,31.707967418847204,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.4, 'e': 0.12362903413636196}",20,8,-0.7433346063372648,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
210,False,"{'a': 0.4, 'e': 0.12239274379499834}",25,3,20.152607277455644,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.4, 'e': 0.12116881635704835}",30,3,37.511636406756644,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.4, 'e': 0.11995712819347787}",35,21,-21.48023181200366,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
213,False,"{'a': 0.4, 'e': 0.11875755691154309}",20,6,-9.32429407987355,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
214,False,"{'a': 0.4, 'e': 0.11756998134242766}",30,0,-28.5880408003435,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
215,False,"{'a': 0.4, 'e': 0.11639428152900338}",20,8,-8.234274718103423,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
216,False,"{'a': 0.4, 'e': 0.11523033871371334}",25,12,22.905050272400757,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.4, 'e': 0.11407803532657622}",25,6,20.38505974354399,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.4, 'e': 0.11293725497331045}",20,9,14.647558924895407,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.4, 'e': 0.11180788242357734}",35,12,21.015955667409653,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
220,False,"{'a': 0.4, 'e': 0.11068980359934157}",20,0,-15.85130718476044,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
221,False,"{'a': 0.4, 'e': 0.10958290556334815}",20,12,-8.623611062042103,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
222,False,"{'a': 0.4, 'e': 0.10848707650771466}",25,16,16.298775802277927,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.4, 'e': 0.10740220574263752}",25,0,-57.46890573850335,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
224,False,"{'a': 0.4, 'e': 0.10632818368521114}",25,0,25.826982092801757,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
